employeeid,department,yearlyincome,employmentlength
rbotterman0,Public-Relations,66084,50
rrobison1,Technical,64743,55
asissons2,Public-Relations,51825,25
cgiuroni3,Marketing,82914,55
mrosenbloom4,Public-Relations,66536,13
akingzeth5,Public-Relations,73991,22
green6,Technical,87186,31
bbrosius7,Public-Relations,81665,23
cmatyushenko8,Marketing,56141,20
rberlin9,Marketing,63023,13
jsantia,Marketing,58169,29
vhenrysonb,Technical,83951,28
cbowgenc,Technical,83448,35
ethunnercliffd,Technical,59715,33
bchampkinse,Public-Relations,84295,47
rwingeattf,Public-Relations,99917,13
gdougherg,Technical,88908,56
lskoneh,Marketing,80833,13
touveri,Public-Relations,71831,16
abauntonj,Technical,82970,47
rsennerk,Technical,93445,13
mduinkerkl,Public-Relations,76037,45
adegregoriom,Marketing,86403,38
bmckeagn,Marketing,99792,57
cmackelwortho,Public-Relations,52509,34
mamiablep,Marketing,93751,26
cprestidgeq,Marketing,52684,59
hdestoopr,Marketing,63403,47
rreedshaws,Technical,54805,15
jhowiet,Public-Relations,98611,16
larneckeu,Technical,56442,55
zgiggiev,Technical,71986,26
smeggisonw,Technical,52399,41
elaurentinx,Public-Relations,74824,23
agouldeny,Technical,56919,30
amciloryz,Public-Relations,56655,40
gvenediktov10,Public-Relations,78746,56
bworrell11,Technical,61284,44
dvardon12,Public-Relations,87549,58
afettes13,Public-Relations,82489,28
spawsey14,Public-Relations,93895,46
fwindybank15,Technical,55495,34
jbruckner16,Technical,96659,58
mgrabham17,Public-Relations,73285,27
kguidini18,Marketing,88066,49
lshackleton19,Public-Relations,51606,32
ahuitson1a,Public-Relations,82951,25
gdalyell1b,Technical,67941,60
fbake1c,Marketing,74590,16
bhaszard1d,Technical,57004,52
cponter1e,Marketing,76245,58
csnassell1f,Public-Relations,75709,18
skocher1g,Technical,60315,59
lgerrett1h,Technical,66204,28
fboyall1i,Public-Relations,68294,44
lszreter1j,Marketing,50521,42
gpeteri1k,Public-Relations,80841,34
ldocker1l,Public-Relations,77532,26
ifarnfield1m,Public-Relations,99638,33
bwinsper1n,Public-Relations,80129,20
dseagood1o,Technical,69794,53
mgoch1p,Marketing,53296,38
llibreros1q,Technical,61407,47
mcrisford1r,Technical,96805,40
lparram1s,Public-Relations,88614,35
nedinburgh1t,Marketing,94091,52
lrocca1u,Public-Relations,79478,24
cstandering1v,Marketing,65828,33
oaynsley1w,Technical,94975,15
dokeshott1x,Marketing,65171,23
bmixter1y,Public-Relations,86785,43
dedinburgh1z,Public-Relations,69981,46
bthorogood20,Marketing,98083,49
dbeavon21,Technical,64366,25
mrowsell22,Technical,82142,34
acurness23,Marketing,59848,14
kdyerson24,Technical,99753,13
rcrix25,Technical,95429,17
lblenkhorn26,Marketing,79917,48
cibarra27,Marketing,93023,27
vkikke28,Marketing,64207,56
nrodinger29,Technical,63740,14
eedney2a,Public-Relations,59340,20
zdwyr2b,Technical,55294,33
bpercifer2c,Marketing,55128,60
bcoffee2d,Technical,58746,59
avasyutichev2e,Marketing,98106,52
cmarczyk2f,Marketing,88938,47
cberger2g,Marketing,66657,41
cpighills2h,Technical,74045,39
mhempshall2i,Technical,65521,47
fescalera2j,Technical,74892,18
caimeric2k,Technical,95507,16
mjirieck2l,Marketing,67334,12
wdillingston2m,Technical,84938,60
comannion2n,Technical,64500,39
mgheraldi2o,Technical,62426,33
ievill2p,Marketing,93394,16
skeuneke2q,Public-Relations,57193,56
lrenac2r,Technical,55950,40
dhallbord2s,Technical,93195,39
lrigglesford2t,Marketing,51741,37
hmclardie2u,Public-Relations,52222,30
nhalls2v,Technical,57245,18
wjorio2w,Technical,91669,55
aspoor2x,Technical,66652,45
acunliffe2y,Public-Relations,93183,43
sheinsen2z,Technical,79709,27
ebaroch30,Public-Relations,70406,49
lkennewell31,Public-Relations,83316,55
scopcutt32,Marketing,96936,59
gpepper33,Public-Relations,91523,30
hamey34,Technical,83693,40
clewsam35,Marketing,81597,15
bgorstidge36,Marketing,82071,30
sofallowne37,Public-Relations,76453,32
echilles38,Public-Relations,98101,46
dkobiela39,Marketing,75375,51
onaish3a,Technical,74701,40
lbatterham3b,Public-Relations,91165,39
bburwood3c,Marketing,69860,27
wbudding3d,Technical,99787,42
nblaza3e,Public-Relations,86992,36
sgiorgeschi3f,Technical,51399,43
caitkin3g,Public-Relations,70689,26
mshireff3h,Technical,93521,44
vnewband3i,Public-Relations,84255,41
krosenthaler3j,Marketing,69237,13
igallagher3k,Technical,57080,43
sdanjoie3l,Public-Relations,87509,18
tdyet3m,Technical,98886,26
ggrigg3n,Marketing,96246,46
kwhoston3o,Public-Relations,63461,36
abosman3p,Technical,78835,19
tblaskett3q,Public-Relations,90279,37
fcosgrove3r,Marketing,82660,26
rhercules3s,Marketing,68077,37
ebennedsen3t,Technical,96869,58
lstirton3u,Public-Relations,80538,54
bdorset3v,Public-Relations,83405,13
ahaily3w,Public-Relations,66005,26
fiiannoni3x,Marketing,50539,47
ohawyes3y,Marketing,53804,55
gdiamant3z,Marketing,86651,36
ekilban40,Technical,75766,31
bslader41,Public-Relations,78877,44
hmarchington42,Public-Relations,54311,51
cfandrich43,Technical,88779,55
cprester44,Marketing,66794,49
shaistwell45,Marketing,90790,53
emcgeouch46,Public-Relations,89786,52
lblowers47,Marketing,71608,26
llodo48,Marketing,89891,47
jmcbrearty49,Marketing,67854,24
bdowson4a,Technical,82673,18
chalpine4b,Marketing,85657,52
rakester4c,Public-Relations,80147,43
npreshous4d,Public-Relations,93494,18
gjennaroy4e,Public-Relations,65635,49
cgrennan4f,Marketing,61993,33
ihousby4g,Public-Relations,83111,47
cthalmann4h,Public-Relations,79433,56
jhurdwell4i,Marketing,50336,53
esmickle4j,Technical,70961,50
bedards4k,Public-Relations,75047,27
mnansom4l,Marketing,59887,42
fjacox4m,Marketing,94321,13
pnineham4n,Public-Relations,70317,53
bgerhold4o,Technical,82618,31
lstarbeck4p,Public-Relations,97117,32
apatershall4q,Technical,64702,39
ciczokvitz4r,Technical,91590,16
fdymick4s,Public-Relations,78841,32
hchaize4t,Public-Relations,60414,25
wcrofts4u,Technical,52759,26
lrains4v,Public-Relations,93719,12
ddimelow4w,Marketing,51287,52
kchittenden4x,Public-Relations,55759,33
